Mixture	Timepoint	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
469D1	T0	5.867503187	0.832356597	0	0.817693192	0.253121387	0.323324801	0.091324352	0	0	0	0.763943881	0	1.582863578	0.153774692	0	0.370444894	0	0	0	0.031574412	0.693121772	0	0	0.610600508	0.791276322	11.78104675
469D2	T0	5.467653053	0.606140264	0	1.246436469	0.057842789	0	0.051690295	0	0	0	0.773232059	0	1.886909575	0.097879768	0	0.471487496	0	0.014395794	0.009256526	0	0.773951696	0	0	0.600501451	0.798876916	11.45687579
469D3	T0	6.211026079	0.398619337	0	0.840628771	0.156021265	0.022063182	0.098595783	0	0	0	0.818671241	0	1.38747669	0.106823384	0	0.653583702	0	0.020673607	0	0	0.900491923	0	0	0.61040888	0.791500312	11.61467496
479D1	T0	5.193553119	0	0	0.88990138	0	0.749122933	0	0	0	0	1.258167659	0	0.892706828	0.138802962	0	0.174592516	0	0.009247489	0.07414494	0	0.476931547	0.123655408	0	0.637191086	0.770657069	9.980826782
479D2	T0	5.624117461	0	0	0.761084824	0	1.099647534	0	0	0	0	0.986712003	0	0.510613617	0.123910674	0	0.158574483	0	0.023701108	0	0	0.533447521	0.386973935	0	0.645484847	0.763393543	10.20878316
479D3	T0	5.04171918	0	0	0.981156711	0	0.690212957	0	0	0	0	1.14620772	0	0.742862286	0.161880884	0	0.18171283	0	0.008096339	0	0	0.565146047	0.004785708	0	0.651185278	0.759100865	9.523780663
511D1	T0	4.752968224	0.623907379	0	0.003911653	0	0.962007569	0	0.141081358	0	0	0	0.570792384	0.200402683	0.185019309	0	0	0	0	0	0	0.085824149	0.052662178	0	0.494065353	0.905629196	7.578576887
511D2	T0	4.953536188	0.510272335	0	0	0	1.0925806	0	0.127465498	0	0	0.055316211	0.430431983	0.217390428	0.152811583	0	0	0	0	0	0	0.072926338	0.044243708	0	0.496729124	0.904873962	7.656974872
511D3	T0	4.914318541	0.710493659	0	0.014187817	0	0.892735192	0	0.149911281	0	0	0	0.489189025	0.220168331	0.145217199	0	0.003572932	0	0	0	0	0.12102393	0.048901275	0	0.500294326	0.904376933	7.709719182
469P11	T1	0.537768215	0	0.254882155	0.341187288	0	0.327400949	0.024685317	0.040556879	0.027407761	0	0.062295419	0	2.036067635	0	0	0.159060225	0	0.017378622	0.312814904	0	0.584835959	0.034144883	0.005	0.303046637	0.965185668	4.760486211
469P12	T1	0.496070585	0	0.291683361	0.295049175	0.124159362	0.007775389	0	0.051395958	0.110436816	0	0.163576771	0	2.188500434	0.032071061	0	0.206185134	0	0	0.231189683	0	0.526131541	0.02331121	0.006	0.300424611	0.968874831	4.747536479
469P13	T1	0.466180735	0	0.211472504	0.282764473	0	0.28695444	0.0326658	0.005809603	0.055941068	0	0.052658197	0	2.105386833	0.012865039	0	0.12597304	0	0.014041213	0.295530723	0	0.559844766	0.023703271	0.007	0.277874365	0.979657901	4.531791705
479P11	T1	1.33502214	0	0.069744794	0.300066453	2.073147735	0	1.44638978	0.753522908	0	0	3.213559437	0	6.816181691	2.144184505	0	0	0	0	2.614578512	0	2.652207892	30.90726241	0	0.589139275	0.828230558	54.32586826
479P12	T1	0.493042821	0.154792958	0.514080608	0.487772894	1.344073257	0	1.010006421	0.383073742	0	0	2.688802585	0	7.153661857	2.574074789	0	0	0	0	2.84822241	0	2.312683815	32.48078575	0	0.586513643	0.838496951	54.44507391
479P13	T1	1.15995604	0.088579397	0.174771258	0.43105292	1.936583554	0	0.851582376	0.46637923	0	0	3.613466966	0	6.885154258	2.117032404	0	0	0	0.01178626	2.543699983	0	2.43313228	31.58490628	0	0.588734735	0.831966348	54.2980832
511P14	T1	0.504506174	0.156092695	0.100522831	0.316341355	0	0.258483891	0	0.026307921	0.063338132	0	0.161790129	0.061451158	0.160308429	0.062887003	0	0.024823636	0	0.001467347	0.013658871	0	0.085336955	0.022125428	0	0.426251758	0.908695516	2.019441954
511P15	T1	0.551909373	0.200690008	0.096627939	0.236083	0	0.359918824	0	0.02209262	0.033868463	0	0.183833364	0.024717556	0.157099611	0.052047501	0	0.025580484	0	0.002031718	0	0	0.099648363	0.001651971	0	0.450412127	0.895961735	2.047800795
511P16	T1	0.480264793	0.245669061	0.099761104	0.255715356	0	0.317059839	0	0.059486291	0.035784076	0	0.17112171	0	0.135702251	0.059154616	0	0.02023699	0	0.003393469	0.004095177	0	0.107707538	0.00523977	0	0.457836992	0.891130925	2.00039204
469P21	T2	0.441057354	0	0.184325374	0.412112997	0.026810781	0.226719129	0	0.008518159	0.008553784	0	0	0.116764115	2.271921694	0.014252029	0	0.363777866	0	0	0.101456016	0	0.062476308	0.190142128	0.003	0.317768594	0.966902992	4.428887734
469P22	T2	0.254274594	0	0.169104069	0.530333521	0	0	0.15167045	0	0.109533636	0	0.126332002	0	2.181745964	0.207583372	0	0.401393757	0	0	0.151765868	0	0.115093529	0.075331798	0.007	0.281233772	0.979467364	4.474162559
469P23	T2	0.277697592	0	0.173288111	0.459594178	0	0.253415074	0.016446295	0.039249168	0	0	0.020694795	0.08406976	2.385550288	0.026682552	0	0.433489425	0	0.01511705	0.034714873	0.02514508	0.072475902	0.19814132	0.007	0.277947001	0.98925215	4.515771464
479P21	T2	0.354823894	0	0.03851987	4.310999231	0	0	1.980446966	0.455046992	0	0	1.757163612	0	3.196583451	0.847208294	0	0.807914702	0	0.187445097	0.93457552	0	1.588559251	2.554864694	0.002	0.326447393	0.951286363	19.01415157
479P22	T2	0.130819274	0	0.069658318	5.030913312	0	0	1.667458962	0.191388539	0	0	1.949824154	0	4.648997361	0.202139833	0	0.270770058	0	0	0.477623853	0	1.777582895	3.036082847	0.001	0.336860473	0.952619163	19.45325941
