Gene symbol	Macrophages M2
MMP9	16386.05747
MS4A6A	16167.182
CCL18	12334.37123
AIF1	11610.29035
NCF2	11487.88902
CD4	10105.34674
ACP5	7633.960182
CLEC4A	6742.94324
CCL13	6581.432651
LY86	6395.572444
SLC15A3	5890.338133
CLEC10A	5770.127086
CCL23	5505.223986
HLA-DQA1	5225.867112
RNASE6	5075.103934
ADAMDEC1	5004.969419
HCK	4811.755806
NPL	4287.536344
TREM2	3999.017687
IRF8	3495.416283
SIGLEC1	3457.591061
CCL4	3139.008389
SAMSN1	3133.89778
CLEC7A	3071.447657
TLR2	3071.447657
P2RY13	2965.888162
CCL8	2829.09296
CD86	2791.659069
CD180	2787.643912
CD68	2770.911453
CD209	2758.297802
C3AR1	2754.457112
GPR183	2474.434424
CCL14	2459.096418
DPEP2	2410.189476
FPR3	2357.542622
CD37	2337.797784
LST1	2286.079952
CLIC2	2233.164343
HRH1	2195.073255
EGR2	2175.756551
CHI3L1	2050.816822
C1orf54	2036.475768
CFP	1971.112539
C5AR1	1920.668117
MNDA	1867.617958
PTGER2	1754.337137
CD300A	1737.241257
PIK3IP1	1631.804333
IGSF6	1626.552661
RENBP	1584.310866
PLA2G7	1569.463396
FCGR2B	1548.943526
SLAMF8	1407.517431
RASGRP3	1320.702754
QPCT	1278.360026
LILRB2	1185.826811
ATP8B4	1163.254876
PTGIR	1096.655917
FRMD4A	1094.097795
TLR8	1082.104258
KYNU	1059.119128
CHST15	1051.6856
GPR65	993.5543835
IFI44L	984.7302507
FES	982.2000845
BMP2K	971.8036512
FLVCR2	951.2228505
HNMT	948.8385009
HPSE	894.528267
CCL22	880.2022045
P2RY14	852.5563739
IL4R	846.6140012
SLAMF1	845.5065088
NOD2	811.2539416
FCER1A	801.8866109
CCR5	787.3000077
FZD2	777.4188883
LRMP	773.4916653
ASGR2	760.7257707
CSF3R	737.8599039
KIAA0226L	711.6687161
SOCS1	705.1354113
RNASE2	677.7138981
CD40	643.639203
CD38	642.6104871
CCL17	620.2134606
FCN1	593.0958939
MMP25	583.9384858
LTC4S	581.6689523
SLC2A6	579.7336116
HHEX	566.3249387
CD33	562.1160422
RASSF4	560.785394
TLR7	546.9250913
MAN1A1	534.8061268
WNT5B	533.28442
GSTT1	520.5704059
SEC31B	492.0692023
TNFRSF4	441.126154
APOL3	437.5272083
ALOX15	430.3353048
NME8	422.959594
CHST7	421.2349567
PBXIP1	410.8735418
FPR1	408.5415267
GGT5	407.7940357
EMR1	404.3935503
AQP9	399.4746192
FAM198B	398.2258384
TNFRSF11A	396.3913895
ARRB1	395.5562302
NPIPB15	370.1582078
MAP4K1	367.2710553
TPSAB1	365.4798555
EMR2	363.8164437
ADRB2	363.1850058
ADAM28	360.6820442
P2RX1	356.2137024
FCER2	352.9280319
PDCD1LG2	343.4394084
TTC38	328.9820884
TNFAIP6	325.3643379
BHLHE41	325.12977
NLRP3	322.0620463
AZU1	315.8328244
EBI3	311.2058679
ZFP36L2	303.5769537
PPBP	292.9918215
CST7	292.5617552
IL1B	291.824541
SELL	287.2191393
GUSBP11	286.719961
EAF2	281.4216469
DCSTAMP	278.806442
CXCL10	278.3434035
ARHGAP22	272.9890572
PRG2	263.6529152
DUSP2	261.4949956
APOBEC3G	258.3004281
LY9	252.2799806
CCL5	250.750217
ALOX5	248.3724724
GNG7	243.4861493
ST6GALNAC4	243.2991012
DHRS11	242.6906605
BIRC3	237.5017836
TRPM4	237.2475823
DHX58	233.5831274
CXCL3	233.3303549
CD22	221.7347708
MMP12	221.5740634
PASK	221.4207731
LILRA2	220.1788316
HTR2B	216.0502815
DGKA	215.9013618
BST1	209.4648222
HSPA6	207.4981375
CD28	207.2614073
CPA3	206.9088618
ELANE	206.3156576
CXCL9	199.4359175
BCL2A1	195.959802
FZD3	195.3507704
ST3GAL6	192.2179775
BRAF	191.008753
DEPDC5	190.192431
CD5	188.25878
CD2	188.1947985
CLEC2D	187.9865712
BCL7A	185.7375226
TREM1	184.6497911
KLRF1	182.5359056
LAT	181.9526719
PLEKHG3	180.2721835
CHI3L2	175.3835932
CD3E	175.317922
IL2RB	172.9682935
CLC	172.4089256
HDC	172.2889652
TNFRSF13B	171.9065402
REPS2	171.2308983
IGKC	170.8361038
FRMD8	170.7725366
CD1C	167.5032595
TMEM255A	167.0152257
CRYBB1	166.9553981
LTB	161.002021
CD80	160.4810794
HK3	159.1217051
ICA1	157.9232363
KIAA0754	157.7551766
FAIM3	157.4129632
CD1A	156.9391502
FCGR3B	155.6717837
ASGR1	155.4913385
LILRA3	154.5203653
TXK	154.3565359
COL8A2	151.5623553
APOBEC3A	148.7993403
ZNF222	148.6222178
KLRG1	148.5655127
AIM2	148.2845223
CD19	146.6235694
IL2RA	146.4600699
GPC4	145.8719106
CYP27B1	145.7011205
TRAC	142.6133419
CTSG	141.0660169
GAL3ST4	141.0660169
RSAD2	140.1673526
HPGDS	138.6741034
CCL19	137.0742038
CD27	136.436149
PDCD1	133.0710845
ATHL1	132.631945
CD1B	132.2193618
TRBC1	131.0995558
VILL	129.9134995
COLQ	128.1562926
PSG2	126.992246
TGM5	126.5453946
LINC00597	126.3468697
CD72	123.9520803
CCR7	123.7463123
S100A12	123.701236
PDK1	121.9445976
ABCB4	121.4322774
VNN1	120.6402118
MYB	118.9099184
SPOCK2	118.3071595
MARCO	117.1511345
MANEA	117.0081644
CD70	116.8363113
SMPD3	116.4670669
RASA3	115.9404818
FBXL8	114.7348137
CEACAM3	113.8352122
PVRIG	113.3694758
LAMP3	113.1413857
ZNF324	112.914142
CD1E	112.6050172
TEP1	112.1957614
VPREB3	111.6979924
SIK1	111.2439257
GZMB	111.0281937
NFE2	110.0759892
PRR5L	109.0856459
CCND2	108.189616
SIT1	107.7569918
NIPSNAP3B	106.9349988
IGHD	106.3962528
MAK	106.2299542
CAMP	105.4403669
SERGEF	103.0111836
RYR1	102.3003102
IGLL3P	102.1260256
RASGRP2	102.0421756
MSC	101.4843406
LOC126987	101.4058634
NR4A3	100.4851433
SKAP1	100.357131
HESX1	100.3133583
LAG3	97.67723625
CD244	96.28143387
FPR2	95.43864594
PNOC	92.99539565
GPR97	92.19065542
IDO1	91.36792646
RRP9	91.16319084
CD6	88.93386715
LAIR2	88.73958185
DEFA4	88.37677893
C11orf80	88.34055902
SCN9A	88.10035668
FFAR2	87.81654144
FAM65B	86.87890188
TBX21	86.6079297
FASLG	85.78259883
CCL7	85.74723008
CRTAM	85.70898291
IL7R	85.59144108
CD247	81.83870096
CD7	80.61769372
CD79B	79.32420695
IL7	79.20083093
DAPK2	76.65867431
HAL	76.24018935
IL1RL1	76.11959313
TNFRSF10C	75.92997592
CYP27A1	75.71085354
KLRD1	75.6389405
ETS1	75.4038863
KIR2DL4	75.07815363
CCR2	74.52120484
ZBTB10	74.03494821
CCR10	73.7311384
TCL1A	72.95993424
Sep-08	72.01025469
ITK	71.26574474
IFNG	71.1513012
LINC00921	70.79707101
RPL10L	70.33336588
MS4A2	68.77420162
FAM174B	68.59561619
GZMA	68.0390322
MEP1A	66.46616213
MS4A1	64.19016147
CMA1	64.11513732
CXCR2	64.07909887
RGS1	63.8234625
FOXP3	63.79022174
CD79A	63.57950923
CD8A	63.47614462
RALGPS2	63.44359344
KIR2DS4	62.96408983
KLRK1	62.47198947
VNN3	60.50951351
FLT3LG	60.37056445
AMPD1	59.95269372
CREB5	59.21766228
C5AR2	59.05366978
EFNA5	56.80709441
Mar-03	56.54869661
BACH2	56.28089968
CXCR6	56.08489855
NCR3	55.94701428
UGT1A8	55.04284584
GPR171	54.79422344
GPR18	54.63497421
CXCR1	53.22101207
BEND5	51.61492393
BCL11B	51.07857308
TEC	50.36671815
LIME1	50.33543999
ORC1	49.33707158
ACHE	48.58576071
ANKRD55	48.55417359
CXCL5	46.38135018
CEMP1	44.64572595
TCF7	43.91152808
IL12RB2	43.64768257
STAP1	43.53483002
IL21	42.67287335
HLA-DOB	41.5765162
ABCB9	40.39026017
SLCO5A1	39.75712842
ZNF135	39.75712842
CD1D	39.50876033
SIRPG	39.50876033
CR2	39.48271435
TRAV13-2	39.12138574
CCR3	39.09280883
EPHA1	38.90350151
IL18RAP	38.64095647
LILRA4	38.58613078
MS4A3	38.22269719
KIRREL	37.96319899
HMGB3P30	37.55103381
CD160	36.95107529
DENND5B	36.71555117
ZNF442	36.61226829
TRAV21	36.23835539
NMBR	35.1722477
MZB1	33.81911592
ETV3	33.76856098
PLEKHF1	33.49248832
ADAMTS3	33.35142773
CD96	32.94807285
DPP4	32.80967907
TREML2	32.60848091
IL18R1	32.56301861
ZAP70	32.52035914
CD40LG	32.06615205
RPL3P7	31.93512985
TYR	31.80183546
CASP5	31.73041766
RAB27B	31.34081799
SPIB	31.21088513
SP140	30.82412721
BFSP1	30.8024485
PTPRCAP	30.51218687
CCR6	29.92011687
PLCH2	29.6256784
CXCL11	29.35940998
BANK1	29.19263501
CD69	28.81247015
CDA	28.81247015
RCAN3	28.67150516
BARX2	28.07283413
ZNF204P	27.46127525
IL1A	27.04752387
PTGDR	26.78347553
CTSW	26.76355546
GFI1	26.60841604
MXD1	26.56895465
IGHM	26.51832445
STEAP4	26.46384319
