Id	norm.469D1	norm.469D2	norm.469D3	norm.479D1	norm.479D2	norm.479D3	norm.511D1	norm.511D2	norm.511D3	norm.469P11	norm.469P12	norm.469P13	norm.479P11	norm.479P12	norm.479P13	norm.511P14	norm.511P15	norm.511P16	norm.469P21	norm.469P22	norm.469P23	norm.479P21	norm.479P22	norm.479P23	norm.511P21	norm.511P22	norm.511P23
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
5_8S_rRNA	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	9	9	6	4	9	5	6	5	11	1	1	0	1	0	2	4	1	5	0	2	0	0	0	0	2	1	1
A1BG-AS1	95	81	86	61	49	53	84	78	61	22	18	16	34	26	31	15	18	20	19	15	29	13	12	12	7	9	8
A1CF	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
A2M	30	37	40	1042	1028	973	97	110	118	44	54	39	52	52	70	108	86	106	71	85	69	90	77	76	105	108	67
A2M-AS1	64	47	49	52	43	44	71	81	85	8	11	14	7	4	3	11	6	11	17	22	10	9	13	12	14	10	8
A2ML1	158	169	128	2	0	0	6	4	2	8	4	0	4	0	1	11	4	5	8	9	4	0	1	0	4	1	1
A2ML1-AS1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	2	4	3	206	209	219	106	134	84	7	13	8	2	12	8	14	17	15	8	7	2	15	11	13	2	2	5
A3GALT2	0	2	3	2	2	2	3	2	2	1	1	1	25	24	15	5	1	9	3	6	10	8	11	12	4	11	2
A4GALT	61	83	45	31	30	44	22	34	19	1131	1154	1033	38	26	38	613	670	573	1082	1097	1107	107	126	126	1322	1307	1324
A4GNT	0	0	0	0	1	0	0	0	0	3	9	3	0	1	0	8	0	0	6	2	5	1	0	0	0	0	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	668	630	644	688	686	760	948	855	922	955	961	935	526	480	495	833	970	922	1032	973	1045	607	561	528	1594	1597	1404
AACS	97	121	119	1588	1461	1523	225	252	236	267	237	190	264	269	317	222	243	272	224	217	228	232	257	264	253	249	298
AACSP1	0	1	0	4	2	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	2	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
AADAT	0	3	0	9	4	4	3	0	0	35	24	32	0	3	2	15	18	11	30	18	34	2	3	0	14	12	3
AAGAB	505	509	505	549	654	612	879	846	883	890	888	902	996	1060	947	918	920	861	994	1002	998	1008	986	987	1049	1007	1113
AAK1	1256	1299	1323	3324	3138	3280	3104	3216	3182	1159	1113	1232	1813	1778	1778	2081	2116	2084	1372	1331	1335	2076	2074	2077	1658	1766	1777
AAMDC	95	109	107	47	66	49	81	81	76	68	52	55	56	55	58	58	61	45	59	52	50	51	57	48	113	112	102
AAMP	1378	1380	1431	2285	2218	2399	1268	1142	1218	1163	1170	1164	618	716	712	1579	1656	1493	1390	1334	1338	1055	1146	1100	1743	1688	1759
AANAT	8	2	4	2	3	3	7	9	5	9	4	5	80	48	68	0	6	10	3	5	1	20	29	25	20	16	24
AAR2	623	552	597	518	554	510	285	283	308	607	559	520	373	425	423	606	586	580	591	620	599	674	678	655	769	772	801
AARD	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AARS1	2247	2114	2177	992	1021	994	1310	1305	1375	1423	1444	1348	887	802	786	1264	1347	1388	1298	1308	1329	721	782	683	1649	1679	1625
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	381	353	410	370	321	327	277	285	269	300	309	317	222	252	234	251	298	303	253	272	251	205	203	209	248	285	256
AARSD1	45	42	40	16	34	28	31	41	34	44	40	39	12	19	17	85	100	82	48	38	49	20	15	21	67	65	65
AARSD1P1	12	5	7	9	1	2	3	3	4	1	1	1	0	0	1	5	0	7	0	1	3	1	1	0	3	1	0
AASDH	469	457	451	178	234	233	275	281	294	331	323	335	365	375	341	185	170	174	225	201	206	173	189	176	176	159	153
AASDHPPT	287	311	264	207	193	209	347	344	329	221	251	246	284	276	257	187	188	159	175	163	212	212	194	194	153	127	174
