	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UPK3A	30.24620738	2.30934907	0.392410803	5.925279682	3.12E-09	2.20E-07
GZMH	735.7086377	2.245738489	0.164906233	13.61505261	3.26E-42	1.63E-38
TREM2	3.449633908	2.072564344	0.680582151	3.243361827	0.001181281	0.009771041
CD1C	283.3153726	2.041165323	0.376008431	5.542184991	2.99E-08	1.58E-06
LILRA4	116.2962789	2.007685409	0.39329396	5.100657318	3.38E-07	1.26E-05
GZMA	801.8215141	1.974927916	0.14871891	13.27202101	3.36E-40	1.12E-36
PLA2G7	95.34523895	1.962703456	0.296836232	6.677399862	2.43E-11	2.94E-09
IFNG	80.5017461	1.958869826	0.364060254	5.353499821	8.63E-08	3.94E-06
CCL23	11.79955093	1.950745075	0.446759333	4.421103932	9.82E-06	0.000210941
ASGR2	308.5165219	1.950307105	0.270848117	7.275991709	3.44E-13	6.76E-11
CCL7	19.23844759	1.916082192	0.615728411	3.002825314	0.002674859	0.018209758
S1PR5	33.50857843	1.8945446	0.221440899	8.545458416	1.28E-17	6.58E-15
CCL5	1774.549951	1.869217301	0.22758462	8.182396383	2.78E-16	1.12E-13
CD86	687.7112147	1.839852273	0.303651795	6.164105258	7.09E-10	6.15E-08
CD1B	2.956984735	1.83910387	0.588293707	3.074938544	0.002105459	0.015197654
PTGIR	80.18281542	1.780952078	0.498674727	3.580856413	0.00034247	0.003664592
MARCO	144.2077134	1.759980421	0.342388424	5.143143547	2.70E-07	1.05E-05
RNASE6	672.2929867	1.65582864	0.334737223	5.059315403	4.21E-07	1.52E-05
GZMB	899.086937	1.64610644	0.22629679	7.273397708	3.51E-13	6.76E-11
CLEC10A	129.8561975	1.632088705	0.494815902	3.429463417	0.000604776	0.005830168
LY86	778.7656198	1.61325268	0.167631966	9.632975181	5.80E-22	4.85E-19
SLC15A3	883.8460076	1.604014098	0.39301227	4.279135688	1.88E-05	0.000361566
CD1D	339.2809705	1.603084434	0.257362516	6.25933805	3.87E-10	3.59E-08
CHI3L2	87.05326763	1.593341012	0.391267004	4.042907332	5.28E-05	0.00084849
CD4	1456.472612	1.563719297	0.294096657	5.385906461	7.21E-08	3.41E-06
CHST7	115.7894744	1.562047242	0.430753579	3.653838562	0.000258349	0.002948648
NLRP3	1572.450493	1.547103951	0.254991482	6.121066151	9.30E-10	7.67E-08
CD68	7.643168826	1.540722263	0.296942949	5.156096781	2.52E-07	9.87E-06
GNLY	1762.293086	1.467788328	0.367513245	4.020790986	5.80E-05	0.000910506
CCL18	7.576789095	1.442776861	0.392182361	3.622634017	0.000291618	0.003230853
