Id	469D1	469D2	469D3	479D1	479D2	479D3	511D1	511D2	511D3	469P11	469P12	469P13	479P11	479P12	479P13	511P14	511P15	511P16	469P21	469P22	469P23	479P21	479P22	479P23	511P21	511P22	511P23
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
5_8S_rRNA	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	11	10	6	5	11	6	7	5	14	1	1	0	1	0	2	3	1	4	0	2	0	0	0	0	2	1	1
A1BG-AS1	116	86	91	72	61	59	94	86	76	23	24	16	28	19	31	12	14	16	18	14	27	13	12	13	7	8	7
A1CF	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
A2M	37	39	42	1226	1281	1082	109	122	147	46	73	39	43	39	69	86	67	85	67	80	65	92	75	79	103	100	59
A2M-AS1	78	50	52	61	54	49	80	90	105	8	15	14	6	3	3	9	5	9	16	21	9	9	13	12	14	9	7
A2ML1	192	179	135	2	0	0	7	4	2	8	6	0	3	0	1	9	3	4	8	8	4	0	1	0	4	1	1
A2ML1-AS1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	3	4	3	242	261	243	119	148	104	7	17	8	2	9	8	11	13	12	8	7	2	15	11	14	2	2	4
A3GALT2	0	2	3	2	2	2	3	2	2	1	2	1	21	18	15	4	1	7	3	6	9	8	11	12	4	10	2
A4GALT	74	88	47	36	37	49	25	38	23	1169	1549	1043	32	19	38	488	520	462	1021	1030	1036	110	122	131	1295	1215	1159
A4GNT	0	0	0	0	1	0	0	0	0	3	12	3	0	1	0	6	0	0	6	2	5	1	0	0	0	0	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	813	669	678	809	855	845	1064	947	1145	987	1289	944	438	357	490	663	753	743	974	914	978	622	544	550	1562	1484	1229
AACS	118	129	125	1867	1821	1693	253	279	293	276	318	192	220	200	314	177	189	219	211	204	213	238	249	275	248	231	261
AACSP1	0	1	0	5	2	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	0	2	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
AADAT	0	3	0	11	5	4	3	0	0	36	32	32	0	2	2	12	14	9	28	17	32	2	3	0	14	11	3
AAGAB	615	541	532	646	815	680	987	937	1096	920	1192	911	830	788	937	731	714	694	938	941	934	1034	956	1027	1028	936	974
AAK1	1528	1380	1392	3909	3912	3646	3485	3561	3951	1198	1493	1244	1511	1322	1760	1656	1643	1679	1295	1250	1250	2129	2012	2162	1624	1641	1555
AAMDC	115	116	113	55	82	55	91	90	94	70	70	56	47	41	57	46	47	36	56	49	47	52	55	50	111	104	89
AAMP	1676	1466	1506	2687	2765	2666	1424	1264	1512	1202	1570	1176	515	532	705	1257	1286	1203	1312	1253	1252	1082	1112	1145	1708	1569	1539
AANAT	10	2	4	2	4	3	8	10	6	9	6	5	67	36	67	0	5	8	3	5	1	21	28	26	20	15	21
