Sample	Filename	Patient	Group	Replicate
X469D1	469D1.counts.txt	P1	T0	R1
X469D2	469D2.counts.txt	P1	T0	R2
X469D3	469D3.counts.txt	P1	T0	R3
X479D1	479D1.counts.txt	P2	T0	R1
X479D2	479D2.counts.txt	P2	T0	R2
X479D3	479D3.counts.txt	P2	T0	R3
X511D1	511D1.counts.txt	P3	T0	R1
X511D2	511D2.counts.txt	P3	T0	R2
X511D3	511D3.counts.txt	P3	T0	R3
X469P11	469P11.counts.txt	P1	T1	R1
X469P12	469P12.counts.txt	P1	T1	R2
X469P13	469P13.counts.txt	P1	T1	R3
X479P11	479P11.counts.txt	P2	T1	R1
X479P12	479P12.counts.txt	P2	T1	R2
X479P13	479P13.counts.txt	P2	T1	R3
X511P14	511P14.counts.txt	P3	T1	R1
X511P15	511P15.counts.txt	P3	T1	R2
X511P16	511P16.counts.txt	P3	T1	R3
X469P21	469P21.counts.txt	P1	T2	R1
X469P22	469P22.counts.txt	P1	T2	R2
X469P23	469P23.counts.txt	P1	T2	R3
X479P21	479P21.counts.txt	P2	T2	R1
X479P22	479P22.counts.txt	P2	T2	R2
X479P23	479P23.counts.txt	P2	T2	R3
X511P21	511P21.counts.txt	P3	T2	R1
X511P22	511P22.counts.txt	P3	T2	R2
X511P23	511P23.counts.txt	P3	T2	R3
